query_idx,repetition,query,latency_ms,timestamp
0,1,北京有哪些值得去的景点？,287.4,2026-07-29T18:32:40.961846
0,2,北京有哪些值得去的景点？,297.2,2026-07-29T18:32:41.439888
0,3,北京有哪些值得去的景点？,368.1,2026-07-29T18:32:41.992546
0,4,北京有哪些值得去的景点？,422.2,2026-07-29T18:32:42.596212
0,5,北京有哪些值得去的景点？,472.5,2026-07-29T18:32:43.254889
0,6,北京有哪些值得去的景点？,445.4,2026-07-29T18:32:43.886375
0,7,北京有哪些值得去的景点？,282.6,2026-07-29T18:32:44.338993
0,8,北京有哪些值得去的景点？,266.8,2026-07-29T18:32:44.792413
0,9,北京有哪些值得去的景点？,399.5,2026-07-29T18:32:45.378006
0,10,北京有哪些值得去的景点？,409.8,2026-07-29T18:32:45.970036
0,11,北京有哪些值得去的景点？,291.3,2026-07-29T18:32:46.447105
0,12,北京有哪些值得去的景点？,437.4,2026-07-29T18:32:47.066349
0,13,北京有哪些值得去的景点？,371.2,2026-07-29T18:32:47.628354
0,14,北京有哪些值得去的景点？,281.7,2026-07-29T18:32:48.094639
1,1,全球旅行治安等级分为几级？一级相对安全是什么意思？,403.1,2026-07-29T18:32:49.268139
1,2,全球旅行治安等级分为几级？一级相对安全是什么意思？,329.0,2026-07-29T18:32:49.792390
1,3,全球旅行治安等级分为几级？一级相对安全是什么意思？,272.9,2026-07-29T18:32:50.249555
1,4,全球旅行治安等级分为几级？一级相对安全是什么意思？,307.6,2026-07-29T18:32:50.725417
1,5,全球旅行治安等级分为几级？一级相对安全是什么意思？,495.3,2026-07-29T18:32:51.409596
1,6,全球旅行治安等级分为几级？一级相对安全是什么意思？,288.8,2026-07-29T18:32:51.883283
1,7,全球旅行治安等级分为几级？一级相对安全是什么意思？,402.2,2026-07-29T18:32:52.471092
1,8,全球旅行治安等级分为几级？一级相对安全是什么意思？,284.9,2026-07-29T18:32:52.940591
1,9,全球旅行治安等级分为几级？一级相对安全是什么意思？,288.3,2026-07-29T18:32:53.413412
1,10,全球旅行治安等级分为几级？一级相对安全是什么意思？,374.0,2026-07-29T18:32:53.976532
1,11,全球旅行治安等级分为几级？一级相对安全是什么意思？,295.0,2026-07-29T18:32:54.458537
1,12,全球旅行治安等级分为几级？一级相对安全是什么意思？,449.2,2026-07-29T18:32:55.088101
